pubchem_CID,IUPAC Name,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
9231,azulene ,32939,36460,37787,34470,65701,41378,38083,54658,40318,38578,54059,46032,46155,28395,50329,38814,42084,42337,36667,30278,30599,25038,27440,23733,22817,52750,27056,25780,37687,50075,16094,22054,25643,47420.18,39545,37783,28482,55982,33322,37570,36124,43793.54,81075,92326,78348,1419.752,29149,39278,37394,40192,33200,27929,23626
240,benzaldehyde  ,203402,431636,228035,257445.7,81001,266680.9,285571,237405,519234,81044,146169,656010,616304,62963,139289,183634,267248,209721,634725,154013,164343,188935,228795,4683.354,40002,180970,309021,465496,244666,151173,57104.21,105919,351477,289498,183408,96785,109389,165693,444766,115570,324658,389838,203128,183629,266646,2163.233,159439,605081.4,177399,45982,341431,446821,76288
67583415,"N,4-diethyl-N-methylbenzamide  ",4110,3364.38,2966.199,4616,2143.737,3116.047,5024,3517,5758,3722,15217,1648.261,5073,2636,4268,5867,8708,3107.476,6257,6409,8799,3912,8923,1882.802,21742,14773.4,3981,5802,11687,7865,2377.47,4239,4807.039,10242.94,4903,3137.158,5574,1850.464,2507.29,18012,8340,4612,12490,9375,17558,5192,14897,14030,9359,5509,988.4019,4685.231,9089
7602,"1,3,5-triethylbenzene  ",22357,16139,16877.16,20513,12376,15491,10202,15838.95,22539,11499,45214,8383.557,21453,25592.41,18788,23215,22438,14514,20332,20855,30437,11211.31,23479,5071,50039,34470,17743,16506,46182,24781,6885.01,11723.94,18328,8776,24633,14542,22373.91,9758,6231.374,39682,35997,19801.46,26669,22101,60542,21283,32232,33514,29624,12721,4574,14802,22792
585014,1-ethoxy-4-[2-(4-pentylcyclohexyl)ethyl]benzene  ,19159,26357,34124,20630,6325,11190,5796,33590,19410,4353,6647,22360.96,10666.17,4238.446,9363,9581.072,8733,18251,11957,18633.71,11479.78,7323,16109,10993,2432.013,2918,7088,9987,13226,3892.469,4920,3374.615,14510.9,6471,13142,4187,5132,4841.128,12425,4249.412,16459,23634,5926.154,7263.008,4110.692,16907,1898.621,16400,3935,3093,12547,13522,1943.982
12100,1-ethyl-3-methylbenzene  ,41495,69008,54158,41954,43581,84806,34686,44402.36,36580,39578,56047,41170,41673,19367,43537,35858,42275,46545,39696,23633,24446,26558,27414,116.099,24592,38469,47678,38856,50496,39740,11760,33524,28162,50298,55788,65463,36013,36284,42847,34271,49452,47593,44379,46529,64761,21236,40061,47986,33073.73,29142,29426,34840,33610
12160,1-ethyl-4-methylbenzene,18000,29551,21170,14134,18789,27353,11269,12229,8818,9775,17795,421613.8,447536.1,4408,12558,11896,209856.9,15029,43784.71,5944,7008,8049,8429,4997.264,7349,12152,11999,10290,14115.2,11522,3159,9834,8486,223929.8,12152,21773,11351,10655,13975,11412,15043,13881,14021,16588,26158,52.64231,14957,18050,11158,9903,9389,11185,12334
998,2-phenylacetaldehyde,8505,19096,6082,9815,2621,3786,5035,6336,9877,3491,8838,8984,8303,5073,6856,4266,2205.973,17855,4784,4411,6024.049,6928,4944,458.4592,1337.342,14002,5255,3744.655,6417,22248,1343.84,4770,12858,11593,6405,8148,2704,7443,2797.618,4889,4660,10410,7400,12866,7517,35745.75,4008.426,7229,19306,2494.42,13413,13531,2743
20006,"N,N-dimethyl-1-phenylpropan-2-amine",7722,6029.834,11724.75,10809.36,8928,7689,9423.788,5635,13639,4055.486,9061,6195,11874,15500,7801,6788,8508,7208,8506,6385,7828,4404,8013,5949.68,3715.581,3684,9461,5496,6674,4991,1106.168,3589.653,5235,11553,10215.21,8072,13969,6821,5580,36409.56,7265.603,11207,5416.54,13139,14071,1215.552,7440.242,6008,5819,3373.206,4741.179,8582,3933
12053,2-phenylpropan-2-ol,3084820,5764204,5694774,6763523,2360428,4168952,1855372,3834201,6225743,746631,3375532,8624332,4049640,1703678,1344945,3578083,1960034,2985785,6372414,3168793,2047046,1396348,2987779,3328009,296117,4102205,3554729,2822158,5093464,5264557,1360741,1474826,2784528,7055413,2534713,3657635,542601.1,3158509,4910726,608260.1,2964784,4626696,3954986,4787666,2155208,12293.3,635582,4450690,2858608,1115490,4900797,5327142,568329
7147,1-phenylpropan-1-ol,87788.13,162142,141013,84522,38297,77674,28522,88114,112670,22841,49127,175891,70156.41,21046.66,38554,59699,40993,51194,99676,60433,51388,32163,79966,62632,19616,48844,76684.39,75485,102547,46875,19791,39519,72945,44740.52,48907,34638,28951,46312.46,104845,50009.87,82804,116544,50362,53591.05,159066,13259.87,36078,112565,36936.36,26052,105986,88160,21846
637516,(1R)-1-phenylethanol,7710.176,18287.14,16142,14260,6422,7215.322,6074,17638,11557,3506,8723.785,18035,12447,2609.305,4015.831,7481,7125.542,13085,8208.612,11723,8847,3641.525,5921,3338.094,1273.152,9395,6273,5701,8271,10102,2443.282,5865.872,16845,18667,6790,5885.173,1886.331,9115,10427,3684.975,11047,11196,15910,11035,4123.35,1584.058,3196.333,15335,6054,3164,15507,13411,1951.937
103653,2-methylbutyl benzoate,14774,13107,11935,11878,13122,21696,5950.702,25429,20828,44973,4314.159,12592,14506.93,19605,47199,40177,35628,10288,12875,22995,1718.309,3803,3393.834,3473.876,2231.326,2158.694,9853,12495,3406.12,2602.16,4429,7612,1867.805,14353,18635,14456,33982,5766,6217,3176.716,14425,21772,3770,2938,3100,5378,3470.521,4258.496,1928.76,1944.864,4587,1246.742,2070.646
