pubchem_CID,IUPAC Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
12100,1-ethyl-3-methylbenzene  ,48174,48244.95,24059,44182,40747,99436,33727,43317,35248,37655,30775,57068,43657,36331,49267,48428,26283,27264,32888,45963,38882,49774,40993,45821,41305,25321,26705,49023.09,53146,42675,45691,19886,26220
12160,1-ethyl-4-methylbenzene,20518,10875,4704,10120,8038,18820,6209,9650,7895,7451,5749,11464,9358,6759,10043,10791,6409,5254,7099,8931,7465,10673,9017,8844,8180,6046,4314,9637,11250,8954,8975,3822,4996
998,2-phenylacetaldehyde,18693,7194,2674,8795,4958,10753.12,9536,8746,3275,10451,7716,11893,6821,13770,20503,8293,832.2071,3143,9724,3275.734,7052,4147,3055.42,2094.231,6591,1436.816,2089.92,10733,8916.604,12235,7225,2514,7031
551749,"1-[2-fluoro-3,4-bis(phenylmethoxy)phenyl]-2-(propan-2-ylamino)ethanol",12758,252.0809,3656.647,6502,9153.217,18585.01,7727,3989.72,3565.539,9720,6164,9248,7520,6383.593,18397,9084,3553,6025,5098,5113.25,14454,7793,8325,4853,7215,5430,4800,14674,8196.146,6547,11452,3295.866,6749.843
12053,2-phenylpropan-2-ol,7540286,1980695,2489237,2969018,1724042,4312767,4264262,3499222,3991402,4601758,1804463,6138831,3601383,3222404,6331252,5338040,3711668,3481570,3124018,1654782,5394619,4793934,1182406,3350202,3117800,1155932,1931368,2817794,3611370,2948591,3067374,1005132,2389784
7147,1-phenylpropan-1-ol,52501,51683,16022,48853,25717.36,31677.05,31383,35721.53,30276.76,54940,27577,48460.05,43143,34290,63415.28,63770.43,26370,81385.86,24444,42906,47482.26,83244,14319,38088,61744,14127.42,26849,95576,78250,26281.6,48869,27586,33839
637516,(1R)-1-phenylethanol,19912,5383.125,10673,5998,4271.495,14852,10549,10169,12901,14323.33,8688,19078,10339.2,8011,17333,21525,10057,7528,6630,3683.817,9742,11653,2113.392,9606.576,8005,5075.044,3017.567,10488,15860,7159,6712.846,4638,6587.599
103653,2-methylbutyl benzoate,17391,15651,9359,13881,10437,18066,19908,5212,7733,13497.88,16040,17844,15549,4137.518,4188.352,21916,10304,7483,3692,1775.764,11605,10725,9376,10353,9833,5020.417,2013.332,2979.801,8881.743,11709.28,3994.316,1440.837,3045.553
90232,ethyl 4-ethoxybenzoate,639522,1376586,356150,590535,828597,968022,672238,356209,646515,836707,579708,897434,688675,665764,842455,763229,438191,653084,218788,514085,756959,893845,553205,721444,1211246,511734,510692,927971,1429707,750715,778775,316447,217275
3102,diphenylmethanone,23097,22226,28366,42777,47987,46939,52942,16580,35337,36174,42537,66033,46954,30920,20186,41921,14771,12285,19076,17501,11834,16630,15017,19102,35543,26973,9761,33108,30147,21682,30119,15076,22957
7222,"1,3-benzothiazole ",48449,17929,19682,19177,29185,30424,39135,24629,30895,26666,26725,39539,42179,30394,32072,37159,18760,16598,24024,11808,19849,29244,14349,23607,33410,12452,11086,45371,39979,16095,20020,10826,13980
244,phenylmethanol,262201,44910,148375,119045,70727,195570,124238,249259,142620,208765,93477,189056,534870,148819,236919,196535,84581,122018,154513,89325,154347,247382,40009,129956,129726,47804,45465,480440,866328,77659,124153,79462,74493
10047,"1,7,7-trimethylbicyclo[2.2.1]hept-2-ene",105297.1,6452.148,12273.85,6827.023,32212,11681.14,24009,27476,25575,29541,2836.273,48195,35514,19447,47860.9,39440,12917.47,35798.67,20779,18512,26620,41764.13,3624.994,22431,22767,11547.52,21477,32185,48868,5610.849,33935,1056.25,3203.604
8343,"bis(2-ethylhexyl) benzene-1,2-dicarboxylate",32138,47164,10810,13063,28916,24000,15130,18145,17603,15238,21676,18940,15929,8493,24523,20453,2976.828,7297,3961,4201,4787,6634,5676,15834,4711,6082.048,10282,5634.395,6558,9394,22656,1497.093,3755
