pubchem_CID,IUPAC Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
103653,2-methylbutyl benzoate,15892,16748,22199,9278,14841,7555,14916,15127,52114,12257,32075,40130,24721,24960,20256,4928,1749.348,12250,9715,5910,16779,7901,7840,4489,4272,6733,36578,16793,8501,2778.743,3226,1659.88,2144.836,2959,15942
90232,ethyl 4-ethoxybenzoate,673482,508955,738442,949035,654519,494882,730945,716811,1592741,729822,840062,1173569,1394097,893346,431938,267282,739222,581438,552244,1094549,644210,495834,492434,259030,468269,498441,1079595,714130,470594,873633,328547,487046,621085,301040,477929
3102,diphenylmethanone,25972,25885,76685,53397,34598,54395,37707,46758,24132,38933,58613,183216,13444,59184,29779,11211,25315,14395,14476,31229,19972,12916,4885,17746,13672,16833,43764,67256,10307,48655,13041,9816,27892,10161,21937
7222,"1,3-benzothiazole ",21869,17911,39629,31693,48996,26117,40113,18597,42787,27362,41897,36332,45126,25637,27976,18641,12103,12464,22904,29430,23504,12584,9563,16309,17501,35251,39146,48503,18631,33128,18803,10694,21673,6758,56421
244,phenylmethanol,660133.2,137038,145310,130108,228877,107941,135236,82170,405632,159774,413481,161583.8,274531,153229,144062,128881,120946,47034,129310,164346,126727,67122,70571,78678,39006,167168,183059,246135,149012,312384,158939,40790,80408,64966,156386
10047,"1,7,7-trimethylbicyclo[2.2.1]hept-2-ene",16616,39651,35800,19067.18,31564,12442.37,44358,3072.459,94702.9,4225.894,34070,16765.01,122019.6,10714.51,22380,28474,1994.205,1506.044,42981,87844,28689.89,13767,43368,12789.23,2266.722,28597,49351.06,26193,57556,26766,17603,1838.095,12238,8726,25272.45
8343,"bis(2-ethylhexyl) benzene-1,2-dicarboxylate",10777,12088,11679,65571,12245,10813,28434,7594,9450,17321,10352,6379,7536,8739,19763,4752,5053,7301,3230,4682,4318,3885,4025,3971,7664,2528.973,3846,10807,10400,2969,3444,4147,7396,3174,3933
86498,"2,3-dibenzoyloxybutanedioic acid ",2743.037,3302.001,8096.066,27626.27,7810,4202.8,11056,15898,48439,14364,7533.089,7638.675,53417,13192,5304,7341,48717,6693,6369,49081,8604,12337,26587,3719,9235,6801,32422,4921.683,11763,22935,4345,18366,17903.52,3298,14918
7770,propyl butanoate,153099,118838,583590,185025,252473,189688,310258,140626,148147,236987,330250,382985,200088,230911,151800,88481,132965,128157,134218,168375,181282,221428,74961,128811,143435,143763,342314,303670,118252,195451,970581,126331,191943,547577,107252
85781,bis(2-ethylhexyl) carbonate,19033.22,30102,53410.25,18377.41,34376,19768,26124,28473.38,79833,23487.28,52575.4,75382.44,35965.45,42704,35087,9828,7592,27507,17127,11364.28,33273,19856,16561,7053,9396,15834,46109,21818,19613,16558.92,8731.111,6366,9031,8488,6274
9268,cyclododecane,378981,474961,288588,416685,532573,688935,390582,677332,69326.6,437006,1346741,1348076,832708,767515,291684,337339,357110,201762.9,333828,352238,292311,168638,31536.76,881248.7,333112,251052,803969,1010019,471876,1223163,617015,455915,760819,602703,403590
